budget_year,account_type,department,fund_code,account_category,bu_description,amount
FY15-16,Expense,General Sessions Court,10101,Holiday Pay,,0
FY15-16,Expense,General Sessions Court,10101,Overtime Pay,,0
FY15-16,Expense,General Sessions Court,10101,Longevity,,7948
FY15-16,Expense,General Sessions Court,10101,YE Biweekly Sal/Fringe Accr,,4607
FY15-16,Expense,General Sessions Court,10101,Employer OASDI,,44757
FY15-16,Expense,General Sessions Court,10101,Employer SSN Medical,,10467
FY15-16,Expense,General Sessions Court,10101,Employer Group Health,,176382
FY15-16,Expense,General Sessions Court,10101,Employer Dental Group,,5444
FY15-16,Expense,General Sessions Court,10101,Employer Group Life,,2911
FY15-16,Expense,General Sessions Court,10101,Employer Pension,,140560
FY15-16,Expense,General Sessions Court,10101,FSA Pre-Tax Savings,,176
FY15-16,Expense,General Sessions Court,10101,Cafe Plan Pre-Tax Savings,,5023
FY15-16,Expense,General Sessions Court,10101,Cable Television,,0
FY15-16,Expense,General Sessions Court,10101,Medical Services,,54
FY15-16,Expense,General Sessions Court,10101,Mngt Cnsltnt Srvc,,307
FY15-16,Expense,General Sessions Court,10101,Pre-Employement Checks,,276
FY15-16,Expense,General Sessions Court,10101,Temporary Service,,751
FY15-16,Expense,General Sessions Court,10101,Internet Services,,166
FY15-16,Expense,General Sessions Court,10101,Interpretation Services,,2770
FY15-16,Expense,General Sessions Court,10101,Employee Out-of-town Travel,,319
FY15-16,Expense,General Sessions Court,10101,Employee Air Travel,,393
FY15-16,Expense,General Sessions Court,10101,Employee Local Travel/Park,,155
FY15-16,Expense,General Sessions Court,10101,Allowance-Cell/Mobile Devices,,677
FY15-16,Expense,General Sessions Court,10101,Cell Phone Service,,2286
FY15-16,Expense,General Sessions Court,10101,Postage & Delivery Srvc,,0
FY15-16,Expense,General Sessions Court,10101,Printing/Binding,,2228
FY15-16,Expense,General Sessions Court,10101,Subscriptions,,525
FY15-16,Expense,General Sessions Court,10101,Registration,,750
FY15-16,Expense,General Sessions Court,10101,Membership Dues,,1830
FY15-16,Expense,General Sessions Court,10101,Other Rpr & Maint Srvc,,2939
FY15-16,Expense,General Sessions Court,10101,Info Systems Charge,,59200
FY15-16,Expense,General Sessions Court,10101,Radio Shop Charge,,2400
FY15-16,Expense,General Sessions Court,10101,Postal Service Charge,,0
FY15-16,Expense,General Sessions Court,10101,Telecmmnct'n Charge,,4963
FY15-16,Expense,General Sessions Court,10101,Fleet Management,,900
FY15-16,Expense,General Sessions Court,10101,Surplus Property,,0
FY15-16,Expense,General Sessions Court,10101,Facilities Maint & Security,,0
FY15-16,Expense,General Sessions Court,10101,Host & Hostess,,3082
FY15-16,Expense,General Sessions Court,10101,Offc & Admin Supply,,9377
FY15-16,Expense,General Sessions Court,10101,Computer Software,,245
FY15-16,Expense,General Sessions Court,10101,Computer Hardware <$10K,,0
FY15-16,Expense,General Sessions Court,10101,Furniture/Fixtures<$10K,,40
FY15-16,Expense,General Sessions Court,10101,Food & Ice,,0
FY15-16,Expense,General Sessions Court,10101,Personal Use Supply,,1996
FY15-16,Expense,General Sessions Court,10101,Uniforms - Allowance,,0
FY15-16,Expense,General Sessions Court,10101,Uniforms/Work Related Items,,4643
FY15-16,Expense,General Sessions Court,10101,Repair & Maint Supply,,0
FY15-16,Expense,General Sessions Court,10101,Procure Card Clearing,,0
FY15-16,Expense,General Sessions Court,10101,Insurance-Liability/PropDmg,,9828
FY15-16,Expense,General Sessions Court,10101,Rent Equipment,,41337
FY15-16,Expense,General Sessions Court,10101,Software License,,92
FY15-16,Expense,General Sessions Court,10101,Other License & Fees,,1680
FY15-16,Expense,General Sessions Court,10101,Regular Pay,,37668
FY15-16,Expense,General Sessions Court,10101,Leave Pay,,5252
FY15-16,Expense,General Sessions Court,10101,Longevity,,633
FY15-16,Expense,General Sessions Court,10101,YE Biweekly Sal/Fringe Accr,,260
FY15-16,Expense,General Sessions Court,10101,Employer OASDI,,2597
FY15-16,Expense,General Sessions Court,10101,Employer SSN Medical,,607
FY15-16,Expense,General Sessions Court,10101,Employer Group Health,,4691
FY15-16,Expense,General Sessions Court,10101,Employer Dental Group,,283
FY15-16,Expense,General Sessions Court,10101,Employer Group Life,,142
FY15-16,Expense,General Sessions Court,10101,Employer Pension,,7050
FY15-16,Expense,General Sessions Court,10101,Cafe Plan Pre-Tax Savings,,123
FY15-16,Expense,General Sessions Court,10101,Care of Persons,,0
FY15-16,Expense,General Sessions Court,10101,Cell Phone Service,,0
FY15-16,Expense,General Sessions Court,10101,Registration,,0
FY15-16,Expense,General Sessions Court,10101,Telecmmnct'n Charge,,0
FY15-16,Expense,General Sessions Court,10101,Host & Hostess,,0
FY15-16,Expense,General Sessions Court,10101,Offc & Admin Supply,,0
FY15-16,Expense,General Sessions Court,10101,Personal Use Supply,,0
FY15-16,Expense,General Sessions Court,10101,Medical Supply,,0
FY15-16,Expense,General Sessions Court,10101,Pay Plan Improvement,,0
FY15-16,Expense,General Sessions Court,10101,Fringe Benefits,,0
FY15-16,Expense,General Sessions Court,10101,Regular Pay,,181596
FY15-16,Expense,General Sessions Court,10101,Leave Pay,,12306
FY15-16,Expense,General Sessions Court,10101,Longevity,,1458
FY15-16,Expense,General Sessions Court,10101,YE Biweekly Sal/Fringe Accr,,1622
FY15-16,Expense,General Sessions Court,10101,Employer OASDI,,11201
FY15-16,Expense,General Sessions Court,10101,Employer SSN Medical,,2619
FY15-16,Expense,General Sessions Court,10101,Employer Group Health,,39180
FY15-16,Expense,General Sessions Court,10101,Employer Dental Group,,1414
FY15-16,Expense,General Sessions Court,10101,Employer Group Life,,724
FY15-16,Expense,General Sessions Court,10101,Employer Pension,,27596
FY15-16,Expense,General Sessions Court,10101,FSA Pre-Tax Savings,,35
FY15-16,Expense,General Sessions Court,10101,Cafe Plan Pre-Tax Savings,,1083
FY15-16,Expense,General Sessions Court,10101,Management Consultant,,19650
FY15-16,Expense,General Sessions Court,10101,Care of Persons,,0
FY15-16,Expense,General Sessions Court,10101,Employee Out-of-town Travel,,193
FY15-16,Expense,General Sessions Court,10101,Cell Phone Service,,0
FY15-16,Expense,General Sessions Court,10101,Printing/Binding,,0
FY15-16,Expense,General Sessions Court,10101,Registration,,0
FY15-16,Expense,General Sessions Court,10101,Telecmmnct'n Charge,,256
FY15-16,Expense,General Sessions Court,10101,Host & Hostess,,0
FY15-16,Expense,General Sessions Court,10101,Offc & Admin Supply,,529
FY15-16,Expense,General Sessions Court,10101,Medical Supply,,0
FY15-16,Expense,State Trial Courts,10101,Regular Pay,,4873512
FY15-16,Expense,State Trial Courts,10101,Leave Pay,,2403
FY15-16,Expense,State Trial Courts,10101,Overtime Pay,,0
FY15-16,Expense,State Trial Courts,10101,Longevity,,46143
FY15-16,Expense,State Trial Courts,10101,YE Biweekly Sal/Fringe Accr,,27071
FY15-16,Expense,State Trial Courts,10101,Fringe Benefits,,0
FY15-16,Expense,State Trial Courts,10101,Employer OASDI,,288911
FY15-16,Expense,State Trial Courts,10101,Employer SSN Medical,,67690
FY15-16,Expense,State Trial Courts,10101,Employer Group Health,,668164
FY15-16,Expense,State Trial Courts,10101,Employer Dental Group,,26466
FY15-16,Expense,State Trial Courts,10101,Employer Group Life,,14824
FY15-16,Expense,State Trial Courts,10101,Employer Pension,,829149
FY15-16,Expense,State Trial Courts,10101,FSA Pre-Tax Savings,,786
FY15-16,Expense,State Trial Courts,10101,Cafe Plan Pre-Tax Savings,,18656
FY15-16,Expense,State Trial Courts,10101,Cable Television,,0
FY15-16,Expense,State Trial Courts,10101,Other Professional Srvc,,945
FY15-16,Expense,State Trial Courts,10101,Health Services,,0
FY15-16,Expense,State Trial Courts,10101,Educational Service,,388
FY15-16,Expense,State Trial Courts,10101,Laundry Services,,60
FY15-16,Expense,State Trial Courts,10101,Interpretation Services,,1494
FY15-16,Expense,State Trial Courts,10101,Transport Non-employee,,0
FY15-16,Expense,State Trial Courts,10101,Employee Out-of-town Travel,,2000
FY15-16,Expense,State Trial Courts,10101,Allowance-Cell/Mobile Devices,,1023
FY15-16,Expense,State Trial Courts,10101,Cell Phone Service,,2458
FY15-16,Expense,State Trial Courts,10101,Postage & Delivery Srvc,,489
FY15-16,Expense,State Trial Courts,10101,Printing/Binding,,648
FY15-16,Expense,State Trial Courts,10101,Subscriptions,,252
FY15-16,Expense,State Trial Courts,10101,Registration,,784
FY15-16,Expense,State Trial Courts,10101,Membership Dues,,3816
FY15-16,Expense,State Trial Courts,10101,Other Rpr & Maint Srvc,,17547
FY15-16,Expense,State Trial Courts,10101,Info Systems Charge,,106500
FY15-16,Expense,State Trial Courts,10101,Radio Shop Charge,,300
FY15-16,Expense,State Trial Courts,10101,Postal Service Charge,,0
FY15-16,Expense,State Trial Courts,10101,Telecmmnct'n Charge,,52703
FY15-16,Expense,State Trial Courts,10101,Fleet Management,,55900
FY15-16,Expense,State Trial Courts,10101,Surplus Property,,0
FY15-16,Expense,State Trial Courts,10101,Facilities Maint & Security,,0
FY15-16,Expense,State Trial Courts,10101,Offc & Admin Supply,,37931
FY15-16,Expense,State Trial Courts,10101,Law Enforcement Supply,,611
FY15-16,Expense,State Trial Courts,10101,Computer Software,,1039
FY15-16,Expense,State Trial Courts,10101,Computer Hardware <$10K,,13849
FY15-16,Expense,State Trial Courts,10101,Office Equipment < $10K,,0
FY15-16,Expense,State Trial Courts,10101,Furniture/Fixtures<$10K,,4929
FY15-16,Expense,State Trial Courts,10101,Food & Ice,,1775
FY15-16,Expense,State Trial Courts,10101,Drapery/Window Covering,,0
FY15-16,Expense,State Trial Courts,10101,Books/Magazines/Periodicals,,1147
FY15-16,Expense,State Trial Courts,10101,Educational Supply,,0
FY15-16,Expense,State Trial Courts,10101,Repair & Maint Supply,,210
FY15-16,Expense,State Trial Courts,10101,Small Equipment Supply,,700
FY15-16,Expense,State Trial Courts,10101,Insurance-Profess Liability,,0
FY15-16,Expense,State Trial Courts,10101,Surety Bond,,0
FY15-16,Expense,State Trial Courts,10101,Rent Equipment,,22120
FY15-16,Expense,State Trial Courts,10101,Software License,,300
FY15-16,Expense,State Trial Courts,10101,Drug Test Fee,,5994
FY15-16,Expense,State Trial Courts,10101,Other License & Fees,,0
FY15-16,Expense,State Trial Courts,10101,Notary,,312
FY15-16,Expense,State Trial Courts,10101,Professional Privilege Tax,,8505
FY15-16,Expense,State Trial Courts,10101,Computer Hardware,,0
FY15-16,Expense,State Trial Courts,10101,Jury Pay,,118510
FY15-16,Expense,State Trial Courts,10101,Transport Non-employee,,80104
FY15-16,Expense,State Trial Courts,10101,Employee Out-of-town Travel,,0
FY15-16,Expense,State Trial Courts,10101,Employee Local Travel/Park,,6262
FY15-16,Expense,State Trial Courts,10101,Printing/Binding,,6906
FY15-16,Expense,State Trial Courts,10101,Subscriptions,,0
FY15-16,Expense,State Trial Courts,10101,Other Rpr & Maint Srvc,,157
FY15-16,Expense,State Trial Courts,10101,Host & Hostess,,0
FY15-16,Expense,State Trial Courts,10101,Offc & Admin Supply,,240
FY15-16,Expense,State Trial Courts,10101,Computer Software (non-cap),,5191
FY15-16,Expense,State Trial Courts,10101,Food & Ice,,28685
FY15-16,Expense,State Trial Courts,10101,Books/Magazines/Periodicals,,0
FY15-16,Expense,State Trial Courts,10101,Repair & Maint Supply,,833
FY15-16,Expense,State Trial Courts,10101,Rent Equipment,,354
FY15-16,Expense,State Trial Courts,10101,Software License,,746
FY15-16,Expense,State Trial Courts,10101,Pay Plan Improvement,,0
FY15-16,Expense,State Trial Courts,10101,Fringe Benefits,,0
FY15-16,Expense,Justice Integration Services,10101,Other Rpr & Maint Srvc,,15606
FY15-16,Expense,Justice Integration Services,10101,Telecmmnct'n Charge,,819
FY15-16,Expense,Justice Integration Services,10101,Offc & Admin Supply,,0
FY15-16,Expense,Justice Integration Services,10101,Regular Pay,,112127
FY15-16,Expense,Justice Integration Services,10101,Leave Pay,,10407
FY15-16,Expense,Justice Integration Services,10101,Longevity,,688
FY15-16,Expense,Justice Integration Services,10101,YE Biweekly Sal/Fringe Accr,,564
FY15-16,Expense,Justice Integration Services,10101,Fringe Benefits,,0
FY15-16,Expense,Justice Integration Services,10101,Employer OASDI,,7243
FY15-16,Expense,Justice Integration Services,10101,Employer SSN Medical,,1694
FY15-16,Expense,Justice Integration Services,10101,Employer Group Health,,18967
FY15-16,Expense,Justice Integration Services,10101,Employer Dental Group,,670
FY15-16,Expense,Justice Integration Services,10101,Employer Group Life,,341
FY15-16,Expense,Justice Integration Services,10101,Employer Pension,,22040
FY15-16,Expense,Justice Integration Services,10101,Cafe Plan Pre-Tax Savings,,530
FY15-16,Expense,Justice Integration Services,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Justice Integration Services,10101,Telephone & Telegraph,,4899
FY15-16,Expense,Justice Integration Services,10101,Allowance-Cell/Mobile Devices,,536
FY15-16,Expense,Justice Integration Services,10101,Postage & Delivery Srvc,,0
FY15-16,Expense,Justice Integration Services,10101,Other Rpr & Maint Srvc,,898
FY15-16,Expense,Justice Integration Services,10101,Info Systems Charge,,147500
FY15-16,Expense,Justice Integration Services,10101,Postal Service Charge,,0
FY15-16,Expense,Justice Integration Services,10101,Telecmmnct'n Charge,,6951
FY15-16,Expense,Justice Integration Services,10101,Surplus Property,,0
FY15-16,Expense,Justice Integration Services,10101,Offc & Admin Supply,,5073
FY15-16,Expense,Justice Integration Services,10101,Computer Hardware <$10K,,781
FY15-16,Expense,Justice Integration Services,10101,Small Equipment Supply,,1619
FY15-16,Expense,Justice Integration Services,10101,Rent Building & Land,,97442
FY15-16,Expense,Justice Integration Services,10101,Software License,,190
FY15-16,Expense,Justice Integration Services,10101,Transfer Indirect Admin,,0
FY15-16,Expense,Justice Integration Services,10101,Longevity,,0
FY15-16,Expense,Justice Integration Services,10101,Pay Plan Improvement,,0
FY15-16,Expense,Justice Integration Services,10101,Fringe Benefits,,0
FY15-16,Expense,Justice Integration Services,10101,Telecmmnct'n Charge,,0
FY15-16,Expense,Justice Integration Services,10101,Regular Pay,,201673
FY15-16,Expense,Justice Integration Services,10101,Leave Pay,,11980
FY15-16,Expense,Justice Integration Services,10101,Longevity,,798
FY15-16,Expense,Justice Integration Services,10101,YE Biweekly Sal/Fringe Accr,,1121
FY15-16,Expense,Justice Integration Services,10101,Fringe Benefits,,0
FY15-16,Expense,Justice Integration Services,10101,Employer OASDI,,12481
FY15-16,Expense,Justice Integration Services,10101,Employer SSN Medical,,2919
FY15-16,Expense,Justice Integration Services,10101,Employer Group Health,,37287
FY15-16,Expense,Justice Integration Services,10101,Employer Dental Group,,1360
FY15-16,Expense,Justice Integration Services,10101,Employer Group Life,,682
FY15-16,Expense,Justice Integration Services,10101,Employer Pension,,34992
FY15-16,Expense,Justice Integration Services,10101,FSA Pre-Tax Savings,,16
FY15-16,Expense,Justice Integration Services,10101,Cafe Plan Pre-Tax Savings,,1031
FY15-16,Expense,Justice Integration Services,10101,Employee Travel,,0
FY15-16,Expense,Justice Integration Services,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Justice Integration Services,10101,Allowance-Cell/Mobile Devices,,674
FY15-16,Expense,Justice Integration Services,10101,Tuition,,0
FY15-16,Expense,Justice Integration Services,10101,Other Rpr & Maint Srvc,,11599
FY15-16,Expense,Justice Integration Services,10101,Offc & Admin Supply,,25
FY15-16,Expense,Justice Integration Services,10101,Computer Software (non-cap),,3285
FY15-16,Expense,Justice Integration Services,10101,Computer Hardware <$10K,,856
FY15-16,Expense,Justice Integration Services,10101,Small Equipment Supply,,1322
FY15-16,Expense,Justice Integration Services,10101,Procure Card Clearing,,0
FY15-16,Expense,Justice Integration Services,10101,Software License,,26303
FY15-16,Expense,Justice Integration Services,10101,Computer Hardware,,6653
FY15-16,Expense,Justice Integration Services,10101,Regular Pay,,0
FY15-16,Expense,Justice Integration Services,10101,Employer OASDI,,0
FY15-16,Expense,Justice Integration Services,10101,Employer SSN Medical,,0
FY15-16,Expense,Justice Integration Services,10101,Employer Group Health,,0
FY15-16,Expense,Justice Integration Services,10101,Employer Dental Group,,0
FY15-16,Expense,Justice Integration Services,10101,Employer Group Life,,0
FY15-16,Expense,Justice Integration Services,10101,Cafe Plan Pre-Tax Savings,,0
FY15-16,Expense,Justice Integration Services,10101,Regular Pay,,725966
FY15-16,Expense,Justice Integration Services,10101,Leave Pay,,78826
FY15-16,Expense,Justice Integration Services,10101,Longevity,,6531
FY15-16,Expense,Justice Integration Services,10101,YE Biweekly Sal/Fringe Accr,,4606
FY15-16,Expense,Justice Integration Services,10101,Fringe Benefits,,0
FY15-16,Expense,Justice Integration Services,10101,Employer OASDI,,47292
FY15-16,Expense,Justice Integration Services,10101,Employer SSN Medical,,11060
FY15-16,Expense,Justice Integration Services,10101,Employer Group Health,,122969
FY15-16,Expense,Justice Integration Services,10101,Employer Dental Group,,3493
FY15-16,Expense,Justice Integration Services,10101,Employer Group Life,,1945
FY15-16,Expense,Justice Integration Services,10101,Employer Pension,,142695
FY15-16,Expense,Justice Integration Services,10101,FSA Pre-Tax Savings,,280
FY15-16,Expense,Justice Integration Services,10101,Cafe Plan Pre-Tax Savings,,3488
FY15-16,Expense,Justice Integration Services,10101,Management Consultant,,0
FY15-16,Expense,Justice Integration Services,10101,Employee Travel,,0
FY15-16,Expense,Justice Integration Services,10101,Employee Out-of-town Travel,,2149
FY15-16,Expense,Justice Integration Services,10101,Employee Air Travel,,925
FY15-16,Expense,Justice Integration Services,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Justice Integration Services,10101,Allowance-Cell/Mobile Devices,,1080
FY15-16,Expense,Justice Integration Services,10101,Tuition,,0
FY15-16,Expense,Justice Integration Services,10101,Registration,,4063
FY15-16,Expense,Justice Integration Services,10101,Computer Software,,456
FY15-16,Expense,Justice Integration Services,10101,Computer Hardware <$10K,,0
FY15-16,Expense,Justice Integration Services,10101,Educational Supply,,2452
FY15-16,Expense,Justice Integration Services,10101,Software License,,139488
FY15-16,Expense,Sheriff,10101,Regular Pay,,1499
FY15-16,Expense,Sheriff,10101,Longevity,,0
FY15-16,Expense,Sheriff,10101,YE Biweekly Sal/Fringe Accr,,0
FY15-16,Expense,Sheriff,10101,Employer OASDI,,93
FY15-16,Expense,Sheriff,10101,Employer SSN Medical,,22
FY15-16,Expense,Sheriff,10101,Internet Services,,2272
FY15-16,Expense,Sheriff,10101,Employee Out-of-town Travel,,0
FY15-16,Expense,Sheriff,10101,Registration,,0
FY15-16,Expense,Sheriff,10101,Telecmmnct'n Charge,,6562
FY15-16,Expense,Sheriff,10101,Electronic Parts/Supply,,0
FY15-16,Expense,Sheriff,10101,Regular Pay,,4528867
FY15-16,Expense,Sheriff,10101,Leave Pay,,588515
FY15-16,Expense,Sheriff,10101,Holiday Pay,,260368
FY15-16,Expense,Sheriff,10101,Overtime Pay,,179265
FY15-16,Expense,Sheriff,10101,Out of Class Pay,,0
FY15-16,Expense,Sheriff,10101,Shift Differential Pay,,111849
FY15-16,Expense,Sheriff,10101,Injured on Duty Pay,,9288
FY15-16,Expense,Sheriff,10101,Longevity,,37630
FY15-16,Expense,Sheriff,10101,IOD-CS 75 Percent,,343
FY15-16,Expense,Sheriff,10101,IOD-Light Duty,,29018
FY15-16,Expense,Sheriff,10101,IOD-CS 90 Percent,,871
FY15-16,Expense,Sheriff,10101,YE Biweekly Sal/Fringe Accr,,34846
FY15-16,Expense,Sheriff,10101,Fringe Benefits,,0
FY15-16,Expense,Sheriff,10101,Employer OASDI,,326375
FY15-16,Expense,Sheriff,10101,Employer SSN Medical,,76330
FY15-16,Expense,Sheriff,10101,Employer Group Health,,1311516
FY15-16,Expense,Sheriff,10101,Employer Dental Group,,45568
FY15-16,Expense,Sheriff,10101,Employer Group Life,,23660
FY15-16,Expense,Sheriff,10101,Employer Pension,,974924
FY15-16,Expense,Sheriff,10101,FSA Pre-Tax Savings,,740
FY15-16,Expense,Sheriff,10101,Cafe Plan Pre-Tax Savings,,36241
FY15-16,Expense,Sheriff,10101,Cable Television,,5628
FY15-16,Expense,Sheriff,10101,Facilities Management,,744158
FY15-16,Expense,Sheriff,10101,Refuse Disposal,,1984
FY15-16,Expense,Sheriff,10101,Pest Control Srvc,,1441
FY15-16,Expense,Sheriff,10101,Lock & Key Service,,0
FY15-16,Expense,Sheriff,10101,Employee Out-of-town Travel,,1505
FY15-16,Expense,Sheriff,10101,Allowance-Cell/Mobile Devices,,1210
FY15-16,Expense,Sheriff,10101,Postage & Delivery Srvc,,55
FY15-16,Expense,Sheriff,10101,Tuition,,4918
FY15-16,Expense,Sheriff,10101,Registration,,3670
FY15-16,Expense,Sheriff,10101,Membership Dues,,0
FY15-16,Expense,Sheriff,10101,Building Maintenance Srvc,,18534
FY15-16,Expense,Sheriff,10101,Plumbing/HVAC Maintain Srvc,,0
FY15-16,Expense,Sheriff,10101,Electrical Repair Service,,0
FY15-16,Expense,Sheriff,10101,Other Rpr & Maint Srvc,,2083
FY15-16,Expense,Sheriff,10101,Office Equip Maintain Srvc,,40
FY15-16,Expense,Sheriff,10101,Telecmmnct'n Charge,,4276
FY15-16,Expense,Sheriff,10101,Offc & Admin Supply,,0
FY15-16,Expense,Sheriff,10101,Computer Hardware <$10K,,2676
FY15-16,Expense,Sheriff,10101,Office Equipment < $10K,,1326
FY15-16,Expense,Sheriff,10101,Furniture/Fixtures<$10K,,0
FY15-16,Expense,Sheriff,10101,HHold & Jnitr Supply,,0
FY15-16,Expense,Sheriff,10101,Floor Covering,,0
FY15-16,Expense,Sheriff,10101,Ceiling/Wall Material,,0
FY15-16,Expense,Sheriff,10101,Uniforms/Work Related Items,,225
FY15-16,Expense,Sheriff,10101,Medical Supply,,0
FY15-16,Expense,Sheriff,10101,Repair & Maint Supply,,32650
FY15-16,Expense,Sheriff,10101,Paint,,4249
FY15-16,Expense,Sheriff,10101,Paint Supply,,1238
FY15-16,Expense,Sheriff,10101,Fire Suppression Supply,,0
FY15-16,Expense,Sheriff,10101,Electrical Supply,,4468
FY15-16,Expense,Sheriff,10101,Electronic Parts/Supply,,1387
FY15-16,Expense,Sheriff,10101,Safety Supply,,0
FY15-16,Expense,Sheriff,10101,HVAC Supply,,1495
FY15-16,Expense,Sheriff,10101,Construction Supply,,0
FY15-16,Expense,Sheriff,10101,Signs,,0
FY15-16,Expense,Sheriff,10101,Small Equipment Supply,,7102
FY15-16,Expense,Sheriff,10101,Work Equipment < $10K,,2230
FY15-16,Expense,Sheriff,10101,Safety Equipment < $10K,,114
FY15-16,Expense,Sheriff,10101,Electrical Appliance<$10K,,239
FY15-16,Expense,Sheriff,10101,Plumbing Appliance<$10K,,2890
FY15-16,Expense,Sheriff,10101,Recreation Supply,,44
FY15-16,Expense,Sheriff,10101,Fire/Emergency Equip<$10K,,0
FY15-16,Expense,Sheriff,10101,Drug Test Fee,,1854
FY15-16,Expense,Sheriff,10101,Machinery & Equipment,,0
FY15-16,Expense,Sheriff,10101,Transfer Operational,,1417
FY15-16,Expense,Sheriff,10101,Salary Supplement,,1619959
FY15-16,Expense,Sheriff,10101,Leave Pay,,191517
FY15-16,Expense,Sheriff,10101,Holiday Pay,,72609
FY15-16,Expense,Sheriff,10101,Overtime Pay,,2688
FY15-16,Expense,Sheriff,10101,Shift Differential Pay,,21410
FY15-16,Expense,Sheriff,10101,Injured on Duty Pay,,1927
FY15-16,Expense,Sheriff,10101,Longevity,,25355
FY15-16,Expense,Sheriff,10101,IOD-Light Duty,,2986
FY15-16,Expense,Sheriff,10101,IOD-NCS 90 Percent,,0
FY15-16,Expense,Sheriff,10101,YE Biweekly Sal/Fringe Accr,,11608
FY15-16,Expense,Sheriff,10101,Employer OASDI,,112093
FY15-16,Expense,Sheriff,10101,Employer SSN Medical,,26215
FY15-16,Expense,Sheriff,10101,Employer Group Health,,357064
FY15-16,Expense,Sheriff,10101,Employer Dental Group,,13471
FY15-16,Expense,Sheriff,10101,Employer Group Life,,6998
FY15-16,Expense,Sheriff,10101,Employer Pension,,292196
FY15-16,Expense,Sheriff,10101,FSA Pre-Tax Savings,,427
FY15-16,Expense,Sheriff,10101,Cafe Plan Pre-Tax Savings,,9851
FY15-16,Expense,Sheriff,10101,Management Consultant,,0
FY15-16,Expense,Sheriff,10101,Lock & Key Service,,0
FY15-16,Expense,Sheriff,10101,Employee Out-of-town Travel,,0
FY15-16,Expense,Sheriff,10101,Employee Local Travel/Park,,583
FY15-16,Expense,Sheriff,10101,Allowance-Cell/Mobile Devices,,4570
FY15-16,Expense,Sheriff,10101,Postage & Delivery Srvc,,0
FY15-16,Expense,Sheriff,10101,Tuition,,2000
FY15-16,Expense,Sheriff,10101,Registration,,0
FY15-16,Expense,Sheriff,10101,Membership Dues,,0
FY15-16,Expense,Sheriff,10101,Other Rpr & Maint Srvc,,3481
FY15-16,Expense,Sheriff,10101,Telecmmnct'n Charge,,3182
FY15-16,Expense,Sheriff,10101,Offc & Admin Supply,,5826
FY15-16,Expense,Sheriff,10101,Computer Hardware <$10K,,0
FY15-16,Expense,Sheriff,10101,Office Equipment < $10K,,135
FY15-16,Expense,Sheriff,10101,Furniture/Fixtures<$10K,,0
FY15-16,Expense,Sheriff,10101,Repair & Maint Supply,,0
FY15-16,Expense,Sheriff,10101,Paint,,0
FY15-16,Expense,Sheriff,10101,Paint Supply,,0
FY15-16,Expense,Sheriff,10101,Electrical Supply,,0
FY15-16,Expense,Sheriff,10101,Electronic Parts/Supply,,0
FY15-16,Expense,Sheriff,10101,Electrical Appliance<$10K,,180
FY15-16,Expense,Sheriff,10101,Salary Supplement,,2962721
FY15-16,Expense,Sheriff,10101,Leave Pay,,420988
FY15-16,Expense,Sheriff,10101,Holiday Pay,,149197
FY15-16,Expense,Sheriff,10101,Overtime Pay,,33219
FY15-16,Expense,Sheriff,10101,Shift Differential Pay,,51369
FY15-16,Expense,Sheriff,10101,Injured on Duty Pay,,0
FY15-16,Expense,Sheriff,10101,Longevity,,53024
FY15-16,Expense,Sheriff,10101,IOD-Light Duty,,0
FY15-16,Expense,Sheriff,10101,YE Biweekly Sal/Fringe Accr,,22548
FY15-16,Expense,Sheriff,10101,Employer OASDI,,209920
FY15-16,Expense,Sheriff,10101,Employer SSN Medical,,49094
FY15-16,Expense,Sheriff,10101,Employer Group Health,,775646
FY15-16,Expense,Sheriff,10101,Employer Dental Group,,26573
FY15-16,Expense,Sheriff,10101,Employer Group Life,,13725
FY15-16,Expense,Sheriff,10101,Employer Pension,,632893
FY15-16,Expense,Sheriff,10101,FSA Pre-Tax Savings,,468
FY15-16,Expense,Sheriff,10101,Cafe Plan Pre-Tax Savings,,21429
FY15-16,Expense,Sheriff,10101,Facilities Management,,0
FY15-16,Expense,Sheriff,10101,Internet Services,,3267
FY15-16,Expense,Sheriff,10101,Employee Out-of-town Travel,,360
FY15-16,Expense,Sheriff,10101,Employee Air Travel,,0
FY15-16,Expense,Sheriff,10101,Employee Local Travel/Park,,0
FY15-16,Expense,Sheriff,10101,Allowance-Cell/Mobile Devices,,3119
FY15-16,Expense,Sheriff,10101,Postage & Delivery Srvc,,182
FY15-16,Expense,Sheriff,10101,Computer Communication Servs,,0
FY15-16,Expense,Sheriff,10101,Printing/Binding,,0
FY15-16,Expense,Sheriff,10101,Tuition,,0
FY15-16,Expense,Sheriff,10101,Membership Dues,,0
FY15-16,Expense,Sheriff,10101,Other Rpr & Maint Srvc,,10200
FY15-16,Expense,Sheriff,10101,Automotive Repair Service,,1193
FY15-16,Expense,Sheriff,10101,Telecmmnct'n Charge,,3282
FY15-16,Expense,Sheriff,10101,OFM Direct Billed Charges,,0
FY15-16,Expense,Sheriff,10101,Offc & Admin Supply,,2687
FY15-16,Expense,Sheriff,10101,Law Enforcement Supply,,0
FY15-16,Expense,Sheriff,10101,Computer Hardware <$10K,,837
